name,free_returns,items_sold,price,shipping,status
Nike Academy Soccer Ball Size - 5 White/Volt/Black DN3599-100,True,,3999,1060,Brand New
Rare Adidas 1998 tricolore World Cup Mini Ball From 1970-2010 out of print set!!,True,,1999,999,Pre-Owned
New ListingAdidas Messi Mini Club Soccer Ball Size 1 Brand New In Box Ships Fast,True,,2499,0,Brand New
DELUXE SOCCER BALL DISPLAY CASE w/ MIRROR & GOLD RISERS,True,259,5499,1295,Brand New
Nike Paris Saint-Germain Strike Soccer Ball Midnight Navy DJ9960-410 Size 5,True,,2999,0,Brand New
adidas Jabulani World Cup 2010 Official Mini Soccer Ball,True,0,22499,900,Brand New
Nike Premier League Academy Soccer Ball 2022 - White/Gold/Blue,True,,5799,0,Brand New
1 NEW WORLD CUP 2014  COUNTRY FLAG SOCCER BALL 32 Panel size 4,True,,2495,0,Brand New
Voit soccer ball Loxus II Pro Clausura 2020 FIFA APPROVED OMB size 5,True,,4400,0,Brand New
Nike Premier League Academy Soccer Ball White/Gold/Blue/Black Size-5 /DN3604-102,True,,4499,1060,Brand New
Nike Academy Soccer Ball Size - 5 / DN3500-101,True,0,4499,0,Brand New
New ListingADIDAS ALRIHLA LEAGUE WORLD CUP 2022 SOCCER BALL QATAR SIZE 5 MATCH LOT OF 2,True,0,14999,1995,Brand New
New ListingAdidas Soccer Football Nativo 21 Match Ball Replica Club MLS Official Size 5 ,True,,2500,1710,Brand New
Adidas Soccer Ball Uniforia Euro2020 Match Ball Replica League White Size 4 NEW,True,0,4274,1136,Brand New
new nike premier league strike soccer ball  size 5 DC2210-101,True,0,5199,0,Brand New
Nike Strike Soccer Ball Size- 5 / Armory/Blue/Black / SC3911 490,True,0,3499,830,Brand New
Adidas Brazuca FIFA World Cup Mini Ball 2014 Brasil,True,0,11249,0,Brand New
Adidas Jabulani | Official Match Ball | FIFA World Cup 2010 | South Africa,True,,3600,3800,Brand New
Nike Academy Team International Match Standard Aerowsculpt Soccer Ball Size 4,True,,3999,0,Brand New
"Champion Sports Extreme Soft Touch Butyl Bladder Soccer Ball, Size 4, Yellow",True,12,1599,0,Brand New
Nike Strike 2022 Aerowesculpt Technology Conmebol Soccer Ball Size 5,True,,4199,0,Brand New
Adidas Champions League Finale Authentic official Match Ball 2019-20 size 5,True,,7700,0,Brand New
"""Mexico"" Soccer Ball. Official Size and weight 5 / Pelota de futbol.",True,0,1949,0,Brand New
Nike Strike Soccer Ball Size - 4 / SC3310 100,True,0,3999,0,Brand New
"GoSports Premier Soccer Ball with Premium Pump, Size 5",True,,1499,1043,Brand New
ADIDAS Jabulani 2010 Official Match Ball South Africa B90005 08/09,True,0,71500,2485,Pre-Owned
"Voit Official Match Ball, FIFA Quality Pro, BBVA Liga MX (Gold size 5) 2021",True,,4700,0,Brand New
Copa Libertadores 2022 Nike Flight Official Match Ball Size 5 NEW DM1647-100,True,0,11499,0,Brand New
New ListingAuthentic Adidas UEFA Champions League PRO Void Official Match Ball. Set of 2,True,,30550,2110,Brand New
adidas Telstar 18 Final World Cup 2018 Russia Mini Soccer Ball,True,0,6999,799,Brand New
New ListingWilson Traditional Soccer Ball - Size 5 - White & Black - Used,True,,2000,999,Pre-Owned
Adidas AL RIHLA Qatar World Cup Fifa Quality Pro Official Match Soccer Ball,True,,16999,0,Brand New
Icon Sports Compatible with Juventus Soccer Ball Officially Licensed Size 5 06-2,True,,2199,0,Brand New
Real Madrid C.F. Authentic Official Licensed Soccer Ball Size 3 - white ,True,,999,0,Pre-Owned
Juventus Official Licensed Soccer Cap FI Collection COMBO 3 caps,True,,6499,0,Brand New
Color issues. Real Madrid  Official Licensed Soccer Ball Size 3 x 10 pcs,True,,3999,1000,Brand New
Icon Sports Mexico Soccer Ball Regulation Size 5 Soccer Ball 01-3,True,,2099,0,Brand New
New ListingWilson Traditional Soccer Ball - Size 5 - White & Black - Used,True,,2000,999,Pre-Owned
Puma La Liga 1 MS Training Ball Size 3 White Green Free Shipping,True,,2121,0,Brand New
2002 FIFA World Cup Official Match Ball Adidas Fevernova Japan Korea RARE,True,,49900,2449,New (Other)
nike strike soccer ball size 5 DC2376-100  NWT,True,,4500,0,Brand New
Mikasa FT5 Goal Master FIFA Soccer Ball Footvolley ball size 5 white and black,True,63,4460,0,Brand New
FC BARCELONA  Barca Soccer Ball Size 5 Authentic Official Messi 10,True,,2999,0,Brand New
Select Sports 2022 Numero 10 Soccer Ball WHITE | GREEN SZ 5,True,,5295,0,Brand New
Lionel (Leo) Messi Soccer Ball. Official Size and weight 5 / Pelota de Futbol,True,0,1949,0,Brand New
Adidas Final Istanbul 20 UEFA Champions League Match Ball authentic size 5,True,,9900,0,Brand New
*RARE* | 1930-1966 | 8 BALLS BUNDLE | OMB | *GENUINE LEATHER* | MINI SIZE 1,True,,18500,4000,Brand New
Nike FC Barcelona official soccer ball collection NEW white ,True,,3995,0,Brand New
Real Madrid C.F. Authentic Official Licensed Soccer Ball Size 2-003-2,True,0,1350,0,Brand New
Nike Academy Soccer Ball White/Navy/Black Size -5 DQ8622-100,True,,3999,1060,Brand New
Nike Futsal Maestro Indoor Soccer Ball Gray,True,,3499,0,Brand New
New ListingNike Merlin 5 Official Match Soccer Ball - PSC657-100 New in box 160$ Retail,True,,8499,0,Brand New
Nike Flight Team USA Crest Official Match Soccer Ball 22 Size 5 DJ6987,True,0,7999,1710,Brand New
Adidas 4 Official Size and Weight MLS CLUB Match Ball Replica,True,,1499,500,Brand New
SELECT REPLICA BUNDESLIGA SOCCER BALL 2021/22 (SIZE 5),True,0,4000,1365,Brand New
"Nike FC Barcelona Supporters Soccer Ball, Size 5",True,,2499,1299,New (Other)
WILSON Traditional Soccer Ball Football Size 5 for Adults Black/White ,True,0,3239,0,Brand New
New Nike Strike Soccer Ball Size - 5 / DC2376 - 710,True,,3999,499,Brand New
CHARLY SALON DE LA FAMA INTERNACIONAL BALL SIZE 5,True,0,3999,0,Brand New
World Cup Qatar 2022 Soccer Ball Size 5 Adidas RIHLA Official Match Ball Fifa ,True,,16899,0,Brand New
Nike Strike Soccer Ball Size 5 White/Sapphire,True,,4399,0,Brand New
Icon Sports Cruz Azul Soccer Ball Officially Size 5 Soccer Ball 05-2,True,,2099,0,Brand New
Icon Sports Puma UNAM Soccer Ball Officially Size 5 Soccer Ball 01-3,True,,2199,0,Brand New
Icon Sports Compatible with Juventus Soccer Ball Officially Licensed Size 5 07-2,True,,2199,0,Brand New
